user_id,transaction_id,current_amount,mean_amount,std_amount,max_amount,min_amount,unique_devices,primary_device_ratio,unique_locations,location_switch_rate,time_diff_mean,time_diff_std,min_time_gap,txn_count,is_fraud
1000,19,783.83,1551.0855555555559,2333.7782024036433,10883.86,741.77,18,0.05555555555555555,1,0.05555555555555555,49584.64705882353,23340.77031971411,5052.0,18,1
1001,32,1891.62,1938.3941666666667,99.7503169699528,2097.52,1746.4,12,0.08333333333333333,1,0.08333333333333333,36834.09090909091,22294.89650325628,5958.0,12,0
1002,51,1603.78,1540.6666666666667,253.94626696583342,2028.6,1128.81,18,0.05555555555555555,1,0.05555555555555555,42734.76470588235,28187.013972593417,2522.0,18,0
1003,62,1133.21,1274.256,186.9751946827885,1494.3,933.85,10,0.1,1,0.1,49742.333333333336,16793.639197624794,25476.0,10,0
1004,75,746.37,999.23,1635.0267751991653,6122.89,10.0,12,0.08333333333333333,2,0.25,29171.363636363636,12017.809977468667,4982.0,12,1
1005,88,429.54,577.985,51.60292054807468,652.4,509.36,11,0.16666666666666666,1,0.08333333333333333,37958.454545454544,25439.05181158935,1221.0,12,0
1006,102,435.97,438.3707692307692,324.1985531394184,958.93,10.0,13,0.07692307692307693,3,0.6153846153846154,40335.583333333336,25738.40778595406,6195.0,13,0
1007,119,1578.87,1774.664375,259.37058769178776,2233.73,1273.75,16,0.0625,1,0.0625,50146.53333333333,26767.49390549949,924.0,16,0
1008,139,1254.44,1330.2084210526316,87.3309345893957,1547.32,1208.29,19,0.05263157894736842,4,0.5789473684210527,45278.944444444445,29969.55462675653,1953.0,19,0
1009,158,1514.57,1509.1899999999998,158.02330792341624,1758.76,1104.68,18,0.05555555555555555,1,0.05555555555555555,52565.41176470588,27103.780469841342,5575.0,18,0
1010,168,244.47,366.9744444444445,112.90147996274352,518.7,176.61,9,0.1111111111111111,4,0.6666666666666666,46331.75,31504.653188060965,7295.0,9,0
1011,178,1704.66,2003.1744444444444,177.45430391449455,2318.42,1681.33,9,0.1111111111111111,3,0.4444444444444444,32338.25,17777.312401324496,3219.0,9,0
1012,188,1577.42,1765.0966666666668,128.0689107473004,1931.5,1544.48,9,0.1111111111111111,1,0.1111111111111111,43034.125,33202.15521161885,961.0,9,0
1013,208,672.83,705.3331578947367,176.79227537966167,1057.29,350.0,18,0.10526315789473684,1,0.05263157894736842,34511.055555555555,31500.0164920073,126.0,19,0
1014,218,604.92,611.0611111111111,70.26067044308012,727.33,484.42,9,0.1111111111111111,1,0.1111111111111111,47484.5,25498.933142948776,13446.0,9,0
1015,238,694.9,835.2921052631581,847.6238366724484,4308.47,451.88,18,0.10526315789473684,2,0.15789473684210525,36089.72222222222,23228.365660787284,275.0,19,1
1016,257,763.31,808.3349999999999,47.34995089754582,884.9,731.17,18,0.05555555555555555,1,0.05555555555555555,50057.82352941176,19351.6739755095,18617.0,18,0
1017,272,1256.52,1250.8978571428574,88.01988352102579,1410.56,1080.3,14,0.07142857142857142,1,0.07142857142857142,61293.92307692308,21981.205435786647,3174.0,14,0
1018,291,1124.32,1583.086111111111,2438.4000802578794,11322.15,483.51,18,0.05555555555555555,3,0.4444444444444444,47135.705882352944,23877.61709678309,6507.0,18,1
1019,303,657.05,698.8900000000001,200.6506920994792,961.75,298.73,11,0.09090909090909091,2,0.2727272727272727,38786.9,28089.764298089478,594.0,11,0
1020,317,1280.26,1218.45,187.24977209598944,1468.58,892.58,13,0.07692307692307693,1,0.07692307692307693,35163.5,21749.486319952895,1329.0,13,0
1021,336,762.79,496.3116666666667,134.85149213988305,697.18,296.92,18,0.05555555555555555,1,0.05555555555555555,34328.58823529412,25303.31575618802,714.0,18,0
1022,355,1125.75,1193.7427777777777,1722.0671770144897,7981.96,328.79,18,0.05555555555555555,2,0.16666666666666666,42605.23529411765,27428.77683549116,766.0,18,1
1023,371,963.87,962.1233333333332,168.9423134287756,1341.87,668.2,15,0.06666666666666667,1,0.06666666666666667,45718.857142857145,29800.600695693633,1228.0,15,0
1024,381,1121.74,975.9933333333333,303.8089461734134,1222.21,482.02,9,0.1111111111111111,1,0.1111111111111111,42534.5,23306.455629288637,7897.0,9,0
1025,397,1780.21,1772.653333333333,217.31065780407116,2034.29,1358.6,15,0.06666666666666667,1,0.06666666666666667,50266.0,27509.565866328136,11680.0,15,0
1026,414,550.36,612.316875,122.42623023512294,862.97,431.98,15,0.125,4,0.5,48852.53333333333,28031.0643365195,3467.0,16,0
1027,428,1243.88,1134.1992307692308,65.66463564475916,1291.03,1050.97,13,0.07692307692307693,1,0.07692307692307693,41449.5,25228.845674959233,12221.0,13,0
1028,440,1052.98,1103.0518181818181,248.0435760433308,1534.98,790.7,11,0.09090909090909091,1,0.09090909090909091,51823.4,21202.326157497173,11497.0,11,0
1029,452,418.25,770.1781818181818,936.4255250025832,2777.36,247.49,11,0.09090909090909091,3,0.45454545454545453,34920.9,21655.927258682168,5207.0,11,1
1030,469,1432.36,1319.33375,92.16856563745941,1467.86,1101.73,16,0.0625,1,0.0625,41268.86666666667,28851.002247673096,134.0,16,0
1031,485,429.53,593.6266666666666,178.03973279125353,925.29,372.55,15,0.06666666666666667,1,0.06666666666666667,46261.92857142857,22993.30663631111,2073.0,15,0
1032,497,545.02,755.3663636363635,1241.3582974812125,4459.95,10.0,11,0.09090909090909091,1,0.09090909090909091,51162.2,22642.18123473679,12365.0,11,1
1033,515,1995.09,1920.2623529411765,199.8838582630365,2344.41,1543.58,17,0.058823529411764705,1,0.058823529411764705,50891.125,26449.249723133293,88.0,17,0
1034,535,1889.56,2762.263684210526,3653.2628202687383,17844.72,1778.3,19,0.05263157894736842,1,0.05263157894736842,39871.22222222222,26079.468854108556,4760.0,19,1
1035,545,1754.61,1656.0677777777778,95.42490238111037,1830.11,1546.08,9,0.1111111111111111,1,0.1111111111111111,32907.25,31686.62988323534,655.0,9,0
